Film	Chapter	Character	Race	Words
NA	05: A Long Expected Party	Mrs. Bracegirdle	Hobbit	2
NA	37: Lothlorien	Sam	Hobbit	2
NA	43: Parth Galen	Merry	Hobbit	2
NA	44: The Breaking Of The Fellowship	Sam	Hobbit	2
NA	46: The Ride Of The Rohirrim	Merry	Hobbit	2
NA	47: The Pyre Of Denethor	Pippin	Hobbit	2
NA	71: Sauron Defeated	Merry	Hobbit	2
NA	75: Homeward Bound	Pippin	Hobbit	2
NA	75: Homeward Bound	Rosie	Hobbit	2
NA	09: At The Green Dragon	Rosie	Hobbit	3
NA	10: The Shadow Of The Past	Hobbits	Hobbit	3
NA	29: Bilbo's Gifts	Frodo	Hobbit	3
NA	31: The Ring Goes South	Sam	Hobbit	3
NA	12: The Fate Of Merry And Pippin	Merry	Hobbit	3
NA	59: The Flooding Of Isengard	Merry	Hobbit	3
NA	01: Prologue	Bilbo	Hobbit	4
NA	36: The Bridge Of Khazad-dûm	Frodo	Hobbit	4
NA	16: The Song Of The Entwives	Merry	Hobbit	4
NA	16: Sam's Warning	Frodo	Hobbit	4
NA	73: The Fellowship Reunited	Frodo	Hobbit	4
NA	75: Homeward Bound	Hobbits	Hobbit	4
NA	21: Flight To The Ford	Merry	Hobbit	5
NA	41: Farewell To Lorien	Merry	Hobbit	5
NA	01: The Foundations Of Stone	Sam	Hobbit	5
NA	50: Old Entish	Pippin	Hobbit	5
NA	56: The Last March Of The Ents	Merry	Hobbit	5
NA	15: Minas Morgul	Sam	Hobbit	5
NA	64: The Mouth Of Sauron	Pippin	Hobbit	5
NA	07: Keep It Secret, Keep It Safe	Bilbo	Hobbit	6
NA	15: At The Sign of the Prancing Pony	Merry	Hobbit	6
NA	32: The Pass Of Caradhras	Frodo	Hobbit	6
NA	38: Caras Galadhon	Merry	Hobbit	6
NA	44: Entmoot	Merry	Hobbit	6
NA	54: Master Peregrin's Plan	Merry	Hobbit	6
NA	69: The Eagles Are Coming	Pippin	Hobbit	6
NA	05: A Long Expected Party	Sam	Hobbit	7
NA	30: The Departure Of The Fellowship	Frodo	Hobbit	7
NA	33: Moria	Sam	Hobbit	7
NA	34: A Journey In The Dark	Sam	Hobbit	7
NA	47: Don't Be Hasty, Master Meriadoc!	Pippin	Hobbit	7
NA	70: The Crack Of Doom	Frodo	Hobbit	7
NA	04: Very Old Friends	Lobelia Sackville-Baggins	Hobbit	8
NA	05: A Long Expected Party	Hobbits	Hobbit	8
NA	27: The Council Of Elrond	Sam	Hobbit	8
NA	34: A Journey In The Dark	Merry	Hobbit	8
NA	35: Balin's Tomb	Frodo	Hobbit	8
NA	36: Isengard Unleashed	Merry	Hobbit	8
NA	40: The Windows On The West	Sam	Hobbit	8
NA	56: The Last March Of The Ents	Pippin	Hobbit	8
NA	15: Minas Morgul	Frodo	Hobbit	8
